"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9706574","R-HSA-9706574","RHOBTB GTPase Cycle","25/4633","35/11146",0.714285714285714,1.71841756344239,3.59017019338165,0.000332789182371184,0.00267887013470933,0.00165741038195861,"71/908/11140/9318/79869/8452/3183/3320/3326/124540/4646/8654/55023/5930/27316/9886/6093/9475/23013/10250/11329/29766/6434/5756/7431",25
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","39/4633","61/11146",0.639344262295082,1.53812457317958,3.55435286116424,0.00034097924621383,0.00273121000185137,0.00168979292938693,"429/1386/8851/1108/1385/1845/1846/1848/1849/1958/1960/2033/2152/2353/2354/8061/3400/3727/5594/1432/5595/5598/4205/4208/4209/4664/5515/5516/5518/5519/5528/5978/6196/6197/9252/6446/6722/6938/10221",39
"R-HSA-1368082","R-HSA-1368082","RORA activates gene expression","15/4633","18/11146",0.833333333333333,2.00482049068278,3.5982954881123,0.000352662001780893,0.00279709372000728,0.00173055502421894,"10498/80205/1374/1387/2033/5469/8648/10499/5465/6095/6256/6720/6907/79718/96764",15
"R-HSA-9824594","R-HSA-9824594","Regulation of MITF-M-dependent genes involved in apoptosis","15/4633","18/11146",0.833333333333333,2.00482049068278,3.5982954881123,0.000352662001780893,0.00279709372000728,0.00173055502421894,"26523/27161/192669/192670/596/23405/3094/4286/4343/5454/25942/27327/23112/57690/4308",15
"R-HSA-2122947","R-HSA-2122947","NOTCH1 Intracellular Domain Regulates Transcription","32/4633","48/11146",0.666666666666667,1.60385639254623,3.53600258686359,0.000382228515068147,0.00300216377369059,0.00185743136346351,"892/1024/1387/8454/2033/55294/79885/3066/9759/51564/9734/3280/23462/23493/3091/8850/9794/55534/10046/4609/26960/9611/9612/4851/3516/6500/6907/79718/7090/7091/7314/7316",32
"R-HSA-9707616","R-HSA-9707616","Heme signaling","32/4633","48/11146",0.666666666666667,1.60385639254623,3.53600258686359,0.000382228515068147,0.00300216377369059,0.00185743136346351,"1386/571/406/10498/80205/9575/1385/1387/23373/200186/2033/7975/5469/4208/4209/8648/10499/9611/4780/4862/8204/10424/5465/10891/10743/6095/6256/23411/6907/79718/96764/7514",32
"R-HSA-381038","R-HSA-381038","XBP1(S) activates chaperone genes","33/4633","50/11146",0.66,1.58781782862076,3.51338044484847,0.000411507868716971,0.00320733876878419,0.00198437262970123,"118/9114/10106/9820/30827/1639/51726/4189/5611/9695/2135/2137/55033/2673/9570/3068/10525/116138/4000/10130/10113/22872/27230/6464/6734/58477/6745/84447/7094/1200/64061/7466/7494",33
"R-HSA-70171","R-HSA-70171","Glycolysis","45/4633","73/11146",0.616438356164384,1.4830178972174,3.49198725896248,0.000412315490671886,0.00320733876878419,0.00198437262970123,"8086/83440/226/669/2023/10007/2821/3098/3099/55706/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/5208/5209/5210/5211/5213/5214/5223/5230/283209/5315/9883/5515/5516/5518/5519/5528/5566/5567/8480/5903/81929/7175",45
"R-HSA-201556","R-HSA-201556","Signaling by ALK","22/4633","30/11146",0.733333333333333,1.76424203180085,3.53506924412586,0.000419610875655738,0.00321767960573926,0.00199077048016267,"285016/29126/1786/2033/10818/3066/3091/3667/3718/4609/4613/5290/5291/5295/5296/5335/639/5777/5803/6464/25942/6774",22
"R-HSA-9843743","R-HSA-9843743","Transcriptional regulation of brown and beige adipocyte differentiation","22/4633","30/11146",0.733333333333333,1.76424203180085,3.53506924412586,0.000419610875655738,0.00321767960573926,0.00199077048016267,"1107/1108/1734/54815/57459/3066/3192/53615/9112/9219/8648/5465/5468/10891/133522/63976/5928/5931/6256/4086/4089/23090",22
"R-HSA-9844594","R-HSA-9844594","Transcriptional regulation of brown and beige adipocyte differentiation by EBF2","22/4633","30/11146",0.733333333333333,1.76424203180085,3.53506924412586,0.000419610875655738,0.00321767960573926,0.00199077048016267,"1107/1108/1734/54815/57459/3066/3192/53615/9112/9219/8648/5465/5468/10891/133522/63976/5928/5931/6256/4086/4089/23090",22
"R-HSA-111447","R-HSA-111447","Activation of BAD and translocation to mitochondria","13/4633","15/11146",0.866666666666667,2.08501331031009,3.54645334955248,0.00043520633688151,0.00326061498072541,0.00201733449136026,"207/208/10000/596/637/5533/5534/7529/7531/7532/7533/10971/7534",13
"R-HSA-5637810","R-HSA-5637810","Constitutive Signaling by EGFRvIII","13/4633","15/11146",0.866666666666667,2.08501331031009,3.54645334955248,0.00043520633688151,0.00326061498072541,0.00201733449136026,"867/11140/1956/2549/2885/3320/3845/4893/5290/5295/5335/6464/6654",13
"R-HSA-5637812","R-HSA-5637812","Signaling by EGFRvIII in Cancer","13/4633","15/11146",0.866666666666667,2.08501331031009,3.54645334955248,0.00043520633688151,0.00326061498072541,0.00201733449136026,"867/11140/1956/2549/2885/3320/3845/4893/5290/5295/5335/6464/6654",13
"R-HSA-9735871","R-HSA-9735871","SARS-CoV-1 targets host intracellular signalling and regulatory pathways","13/4633","15/11146",0.866666666666667,2.08501331031009,3.54645334955248,0.00043520633688151,0.00326061498072541,0.00201733449136026,"857/2033/5170/4088/4089/6667/7329/7529/7531/7532/7533/10971/7534",13
"R-HSA-111996","R-HSA-111996","Ca-dependent events","27/4633","39/11146",0.692307692307692,1.66554317687493,3.51148486128298,0.000435286054287199,0.00326061498072541,0.00201733449136026,"107/108/109/112/113/115/801/805/808/815/817/818/10645/1385/3838/5594/26960/5136/5137/5321/5566/5567/5573/5576/5577/5580/5613",27
"R-HSA-383280","R-HSA-383280","Nuclear Receptor transcription pathway","34/4633","52/11146",0.653846153846154,1.57301300038188,3.49303320201103,0.000439304922688937,0.00327555467700784,0.00202657764480805,"367/2099/2101/2104/3172/5469/9611/9612/9975/7181/7182/126382/7025/2063/2908/4306/3164/4929/8013/2494/2649/29982/29959/5241/5465/5467/5468/5915/5916/6095/6097/6256/7067/7068",34
"R-HSA-913531","R-HSA-913531","Interferon Signaling","139/4633","269/11146",0.516728624535316,1.24313776150888,3.40451018004196,0.000452624035560595,0.00335938389695891,0.00207844257758631,"8086/6059/103/25820/567/8678/815/817/818/960/983/1147/4261/1660/5611/54920/1958/5610/1965/8894/1968/1973/1974/1977/9470/317649/1981/1982/8672/2175/2187/2176/57697/2316/2635/3105/3303/3304/3306/3312/3383/3429/10437/2537/3433/24138/3454/3455/3459/3460/3551/3609/3659/3660/3661/3662/3664/10379/3716/3836/3838/3839/3840/3841/3837/5594/5595/4137/57506/4281/4502/4684/4690/55706/4734/4869/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/4939/4940/201626/8554/5335/5371/9883/5495/5515/5516/5518/5519/5525/5580/8575/5724/5770/5771/5777/8480/5894/5903/6041/81929/4092/9021/6772/6773/6774/7341/6895/7157/7175/23321/7706/7726/10612/23087/80263/80128/117854/81603/7846/10383/7297/7314/7316/7324/7329/7334",139
"R-HSA-8848021","R-HSA-8848021","Signaling by PTK6","35/4633","54/11146",0.648148148148148,1.55930482608661,3.47473079817682,0.000465492134833624,0.00342348306436729,0.00211810057524773,"207/2909/867/595/898/1017/1019/1027/1398/1793/1956/9844/63916/2034/2065/2066/2069/1839/3091/10657/3845/2908/4893/3084/27043/5770/5829/5879/5921/387/6421/9021/6774/7314/7316",35
"R-HSA-9006927","R-HSA-9006927","Signaling by Non-Receptor Tyrosine Kinases","35/4633","54/11146",0.648148148148148,1.55930482608661,3.47473079817682,0.000465492134833624,0.00342348306436729,0.00211810057524773,"207/2909/867/595/898/1017/1019/1027/1398/1793/1956/9844/63916/2034/2065/2066/2069/1839/3091/10657/3845/2908/4893/3084/27043/5770/5829/5879/5921/387/6421/9021/6774/7314/7316",35
"R-HSA-9673767","R-HSA-9673767","Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants","11/4633","12/11146",0.916666666666667,2.20530253975106,3.5232359899668,0.000472481405575246,0.00342813862879259,0.0021209809615391,"2885/3845/4893/5156/5290/5291/5295/5296/6654/6772/6774",11
"R-HSA-9673770","R-HSA-9673770","Signaling by PDGFRA extracellular domain mutants","11/4633","12/11146",0.916666666666667,2.20530253975106,3.5232359899668,0.000472481405575246,0.00342813862879259,0.0021209809615391,"2885/3845/4893/5156/5290/5291/5295/5296/6654/6772/6774",11
"R-HSA-9755779","R-HSA-9755779","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","11/4633","12/11146",0.916666666666667,2.20530253975106,3.5232359899668,0.000472481405575246,0.00342813862879259,0.0021209809615391,"207/208/10000/857/5170/7529/7531/7532/7533/10971/7534",11
"R-HSA-8875878","R-HSA-8875878","MET promotes cell motility","28/4633","41/11146",0.682926829268293,1.64297484114491,3.47862227956244,0.000485203927480371,0.00350473194046089,0.00216836905561012,"1301/1277/1278/255631/85301/1281/1289/1290/50509/1398/1399/2335/2549/2885/3082/3673/3909/3912/3914/3915/3918/4233/5747/5879/5906/5908/2889/64759",28
"R-HSA-9839394","R-HSA-9839394","TGFBR3 expression","19/4633","25/11146",0.76,1.8283962875027,3.49717105570846,0.000497895573509559,0.00358042239083763,0.00221519855161446,"26523/27161/192669/192670/2033/3070/4343/4613/6256/4088/4089/6667/6938/6929/6925/7049/27327/23112/57690",19
"R-HSA-2871796","R-HSA-2871796","FCERI mediated MAPK activation","23/4633","32/11146",0.71875,1.7291576732139,3.48370916246212,0.000500166351231346,0.00358083697474477,0.00221545505366097,"2353/9402/2885/3725/3845/4067/6416/5609/4214/5594/5602/5595/5599/5601/4893/5058/5062/5335/5879/6464/6654/7410/10451",23
"R-HSA-2644602","R-HSA-2644602","Signaling by NOTCH1 PEST Domain Mutants in Cancer","37/4633","58/11146",0.637931034482759,1.5347246514882,3.44348536588298,0.000512710424047187,0.00359119249397553,0.00222186198801037,"102/51107/83464/892/1024/1387/8454/28514/2033/55294/79885/3066/9759/51564/9734/3280/23462/23493/182/3714/8850/9794/55534/10046/57534/4609/9611/9612/54492/4851/5663/3516/6500/6907/79718/7314/7316",37
"R-HSA-2644603","R-HSA-2644603","Signaling by NOTCH1 in Cancer","37/4633","58/11146",0.637931034482759,1.5347246514882,3.44348536588298,0.000512710424047187,0.00359119249397553,0.00222186198801037,"102/51107/83464/892/1024/1387/8454/28514/2033/55294/79885/3066/9759/51564/9734/3280/23462/23493/182/3714/8850/9794/55534/10046/57534/4609/9611/9612/54492/4851/5663/3516/6500/6907/79718/7314/7316",37
"R-HSA-2644606","R-HSA-2644606","Constitutive Signaling by NOTCH1 PEST Domain Mutants","37/4633","58/11146",0.637931034482759,1.5347246514882,3.44348536588298,0.000512710424047187,0.00359119249397553,0.00222186198801037,"102/51107/83464/892/1024/1387/8454/28514/2033/55294/79885/3066/9759/51564/9734/3280/23462/23493/182/3714/8850/9794/55534/10046/57534/4609/9611/9612/54492/4851/5663/3516/6500/6907/79718/7314/7316",37
"R-HSA-2894858","R-HSA-2894858","Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer","37/4633","58/11146",0.637931034482759,1.5347246514882,3.44348536588298,0.000512710424047187,0.00359119249397553,0.00222186198801037,"102/51107/83464/892/1024/1387/8454/28514/2033/55294/79885/3066/9759/51564/9734/3280/23462/23493/182/3714/8850/9794/55534/10046/57534/4609/9611/9612/54492/4851/5663/3516/6500/6907/79718/7314/7316",37
"R-HSA-2894862","R-HSA-2894862","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants","37/4633","58/11146",0.637931034482759,1.5347246514882,3.44348536588298,0.000512710424047187,0.00359119249397553,0.00222186198801037,"102/51107/83464/892/1024/1387/8454/28514/2033/55294/79885/3066/9759/51564/9734/3280/23462/23493/182/3714/8850/9794/55534/10046/57534/4609/9611/9612/54492/4851/5663/3516/6500/6907/79718/7314/7316",37
"R-HSA-9671555","R-HSA-9671555","Signaling by PDGFR in disease","16/4633","20/11146",0.8,1.92462767105547,3.49054309082552,0.000527762773943545,0.00368069038034765,0.00227723411079996,"2803/2885/23189/3791/3845/4893/5156/5290/5291/5295/5296/6654/6772/6774/6801/57599",16
"R-HSA-9656223","R-HSA-9656223","Signaling by RAF1 mutants","29/4633","43/11146",0.674418604651163,1.62250588548281,3.4493571749041,0.000533482186140477,0.00370461020246906,0.00229203324607903,"60/71/408/673/801/805/808/815/817/818/22866/1445/2266/2335/8826/3845/8844/283455/5604/5594/5595/4140/4893/5894/5906/5908/7094/7414/7529",29
"R-HSA-9755511","R-HSA-9755511","KEAP1-NFE2L2 pathway","71/4633","126/11146",0.563492063492063,1.35564052227122,3.38599538679887,0.000542403199515285,0.00375046314878517,0.00232040235150263,"4363/8714/10061/207/208/10000/139285/571/596/598/672/8945/6347/1026/1029/1387/1457/8454/8452/2033/64839/2539/2729/2730/2932/2936/3417/9817/4097/7975/4609/4780/4790/4851/55666/5154/5226/5563/5580/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/27244/83667/6500/6502/23657/6667/8878/7295/7296/7314/7316/26043/7415",71
"R-HSA-112316","R-HSA-112316","Neuronal System","203/4633","410/11146",0.495121951219512,1.19115675983006,3.32614352119538,0.000565558448904479,0.00389393008649977,0.00240916499398952,"18/6833/107/108/109/112/113/115/9495/217/160/163/1173/1175/320/8874/23229/57596/777/781/783/785/27092/801/805/808/815/817/818/10645/8573/89832/1138/1139/1312/10815/1385/28988/1739/1740/9229/22839/80331/2035/2036/2037/23136/57669/2066/10211/2319/2550/9568/2554/2557/2561/2562/2571/2572/10052/2741/2742/8001/2744/2752/2770/2771/2773/2774/2782/2783/59345/10681/55970/54331/2787/2890/2891/2892/2898/2903/2904/23426/2911/2915/348980/610/9456/9455/3312/285242/3556/11141/3736/3739/8514/3745/3747/3749/3752/3756/27133/131096/3768/3772/3759/3760/3763/3775/54207/3776/3777/9424/3778/3782/3783/56479/57576/3838/3845/8825/55327/79414/78999/26045/347731/80059/4128/5594/5595/4137/4193/4646/26960/83988/4747/22871/57555/57502/27020/4893/3084/9378/9379/9369/4905/4916/24145/10611/5170/23236/8500/8499/8496/8495/22843/9647/5562/5563/5564/5565/5566/5567/51422/5573/5576/5577/5579/5613/5789/5792/5879/5924/22999/6196/6197/27330/10313/22941/26037/57030/6571/6505/6506/81539/54407/60482/6529/6538/114798/84631/22865/139065/26050/84189/6616/6812/6854/6857/127833/9066/7846/10383",203
"R-HSA-4085377","R-HSA-4085377","SUMOylation of SUMOylation proteins","24/4633","34/11146",0.705882352941177,1.69820088622542,3.43877994534195,0.000580781874700762,0.00398180115790607,0.0024635306103498,"8086/55706/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/51588/9883/8480/5903/81929/7341/10210/7175/7329",24
"R-HSA-168181","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","62/4633","108/11146",0.574074074074074,1.38109856024814,3.35648444103624,0.000617271338394329,0.0041964076702606,0.00259630713318446,"351/1386/8945/841/1147/1385/8454/1845/1846/1848/1849/23291/2353/3551/3654/51135/3725/5604/5606/6416/5609/4214/6885/1326/5594/5602/1432/5595/5598/5599/5601/4205/4208/4615/9683/4790/28512/79671/387522/57162/246330/5515/5516/5518/5519/5528/8767/6196/6197/9252/6500/121260/23118/257397/100302736/79155/7157/7314/7316/7334/7335/9097",62
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","62/4633","108/11146",0.574074074074074,1.38109856024814,3.35648444103624,0.000617271338394329,0.0041964076702606,0.00259630713318446,"207/240/301/596/598/604/332/6347/595/1026/1052/1278/3576/356/2247/2335/2353/2308/2309/6624/2625/3082/3091/3320/7184/3312/3383/3586/3592/3569/3570/3662/3716/3718/3976/4128/4170/4312/4313/4318/4609/4843/4988/5008/5295/5292/5451/5743/6095/6097/1901/9021/9655/6772/6774/7133/7157/7291/7297/7422/7431/6935",62
"R-HSA-1445148","R-HSA-1445148","Translocation of SLC2A4 (GLUT4) to the plasma membrane","44/4633","72/11146",0.611111111111111,1.47020169316737,3.37581644679518,0.000622553137955874,0.00421460659921592,0.00260756676589314,"60/71/207/208/9847/801/805/808/55763/60412/10640/149371/11127/9371/22920/4012/4627/4641/4644/5563/5564/5565/51422/10890/8766/51552/5867/4218/5879/57148/6517/8773/6810/6814/23216/9882/7846/10383/7529/7531/7532/7533/10971/7534",44
"R-HSA-69242","R-HSA-69242","S Phase","88/4633","162/11146",0.54320987654321,1.30684594948211,3.31801455913714,0.000658745751902825,0.00444104427741154,0.00274766320201573,"207/208/10000/64682/10393/51529/119504/890/595/898/9134/8697/993/994/996/990/1017/1019/1022/1026/1027/81620/1163/8454/1763/1869/1874/1875/114799/2237/51053/2932/3978/132660/286826/4172/4175/4176/84515/4609/23595/5000/23594/5111/23244/23047/5426/54107/5558/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5885/5925/5928/5934/6118/6500/6502/8243/9126/10735/7027/7029/7314/7316/11065/7321/7324/27338/23063/7465",88
"R-HSA-9825892","R-HSA-9825892","Regulation of MITF-M-dependent genes involved in cell cycle and proliferation","14/4633","17/11146",0.823529411764706,1.98123436726299,3.41467824497813,0.000714562041766794,0.00479735013933059,0.00296810876488413,"891/595/1017/1026/1029/1499/3094/51176/4233/4286/5347/25942/83439/6934",14
"R-HSA-111931","R-HSA-111931","PKA-mediated phosphorylation of CREB","17/4633","22/11146",0.772727272727273,1.85901536408767,3.40143698236215,0.000720858116266611,0.00479978778649949,0.00296961693120878,"107/108/109/112/113/115/801/805/808/1385/26960/5566/5567/5573/5576/5577/5613",17
"R-HSA-389357","R-HSA-389357","CD28 dependent PI3K/Akt signaling","17/4633","22/11146",0.772727272727273,1.85901536408767,3.40143698236215,0.000720858116266611,0.00479978778649949,0.00296961693120878,"207/208/10000/940/941/2534/9020/1326/79109/2475/5170/5290/5295/5296/8503/253260/57761",17
"R-HSA-5655302","R-HSA-5655302","Signaling by FGFR1 in disease","26/4633","38/11146",0.684210526315789,1.6460631397185,3.36456926861951,0.000737055820802417,0.00487899011266484,0.00301861921615006,"9530/613/11116/11064/11052/1523/11160/2247/2250/2254/2260/26127/10818/2549/2885/3845/399687/4893/5290/5295/5335/6654/6772/6774/6777/7750",26
"R-HSA-177929","R-HSA-177929","Signaling by EGFR","34/4633","53/11146",0.641509433962264,1.54333350980863,3.3439560935049,0.000738784040545665,0.00487899011266484,0.00301861921615006,"102/8038/8874/867/998/1445/1956/29924/2060/2069/81610/2549/2885/1839/3845/26018/4893/55824/5290/5295/5335/5782/5774/5796/5829/6455/6456/30011/6464/6654/10252/7039/7314/7316",34
"R-HSA-418990","R-HSA-418990","Adherens junctions interactions","36/4633","57/11146",0.631578947368421,1.51944289820169,3.31596315675442,0.000801165416710939,0.00526945383836707,0.00326019816556313,"60/71/8728/4301/26523/27161/192669/192670/154796/27319/23705/253559/999/1009/1016/1000/1002/1005/1006/1495/1499/1500/2294/3224/3609/3728/4343/5818/25945/81607/5817/6667/27327/23112/57690/9839",36
"R-HSA-453274","R-HSA-453274","Mitotic G2-G2/M phases","105/4633","199/11146",0.527638190954774,1.26938382827151,3.23393396079251,0.000850367570381694,0.00557042400355296,0.00344640766858296,"10121/84962/10142/6790/79866/8945/890/891/9738/993/994/983/1017/1022/1026/1063/9662/22995/22897/80184/95681/11116/9702/80254/80321/79959/9793/23332/11064/1453/8454/1639/10540/1778/1869/1871/2033/23291/2305/51512/79441/54801/93323/3161/3320/3326/132660/286826/22919/4605/440145/54820/4957/5048/5108/22822/9088/5347/10733/51400/5500/4659/4660/5515/5516/5518/5519/5520/5566/5577/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/4218/5928/9814/6500/7157/7846/203068/10383/10426/27229/7314/7316/7465/7514/7531/7532",105
"R-HSA-5663220","R-HSA-5663220","RHO GTPases Activate Formins","77/4633","140/11146",0.55,1.32318152385064,3.24546130437937,0.000862749789175704,0.00561959460063743,0.00347682939639984,"60/71/25909/9212/332/699/701/9184/991/998/55143/1058/1063/91687/55839/79172/401541/55166/80152/79682/9793/23332/23122/6249/23002/1729/1730/81624/1857/1778/1780/1783/140735/54821/51466/91010/3796/11004/57082/22919/57591/54820/81565/25936/83540/23279/348995/4928/5048/5217/5347/5501/5515/5516/5518/5519/5525/5527/5528/5529/5879/5903/5905/387/388/389/286205/81929/151648/151246/147841/6722/57551/7846/10383/7514/9183",77
"R-HSA-168271","R-HSA-168271","Transport of Ribonucleoproteins into the Host Nucleus","22/4633","31/11146",0.709677419354839,1.70733099851695,3.3260551963081,0.000878712876366669,0.00561959460063743,0.00347682939639984,"8086/3836/3837/55706/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/9883/8480/5903/81929/7175",22
"R-HSA-168333","R-HSA-168333","NEP/NS2 Interacts with the Cellular Export Machinery","22/4633","31/11146",0.709677419354839,1.70733099851695,3.3260551963081,0.000878712876366669,0.00561959460063743,0.00347682939639984,"8086/55706/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/9883/8480/5901/5903/81929/7175/7514",22
"R-HSA-5339562","R-HSA-5339562","Uptake and actions of bacterial toxins","22/4633","31/11146",0.709677419354839,1.70733099851695,3.3260551963081,0.000878712876366669,0.00561959460063743,0.00347682939639984,"84168/118429/801/805/808/1938/5045/1839/3320/3326/5604/5606/6416/5609/10015/6616/9899/22987/6857/127833/7296/6843",22
"R-HSA-9759476","R-HSA-9759476","Regulation of Homotypic Cell-Cell Adhesion","22/4633","31/11146",0.709677419354839,1.70733099851695,3.3260551963081,0.000878712876366669,0.00561959460063743,0.00347682939639984,"8728/26523/27161/192669/192670/154796/27319/1009/1006/1495/1499/1500/2294/3224/3609/3728/4343/6667/27327/23112/57690/9839",22
"R-HSA-9764260","R-HSA-9764260","Regulation of Expression and Function of Type II Classical Cadherins","22/4633","31/11146",0.709677419354839,1.70733099851695,3.3260551963081,0.000878712876366669,0.00561959460063743,0.00347682939639984,"8728/26523/27161/192669/192670/154796/27319/1009/1006/1495/1499/1500/2294/3224/3609/3728/4343/6667/27327/23112/57690/9839",22
"R-HSA-169893","R-HSA-169893","Prolonged ERK activation events","12/4633","14/11146",0.857142857142857,2.06210107613086,3.35369771754945,0.000915655750381899,0.00576905283754162,0.00356929884100064,"673/1398/1399/10818/57498/5604/5594/5595/4803/5906/2889/7529",12
"R-HSA-418885","R-HSA-418885","DCC mediated attractive signaling","12/4633","14/11146",0.857142857142857,2.06210107613086,3.35369771754945,0.000915655750381899,0.00576905283754162,0.00356929884100064,"3983/22885/998/1630/1793/2534/4690/9423/5747/5879/7204/8976",12
"R-HSA-428540","R-HSA-428540","Activation of RAC1","12/4633","14/11146",0.857142857142857,2.06210107613086,3.35369771754945,0.000915655750381899,0.00576905283754162,0.00356929884100064,"4690/5058/5062/5063/10298/57144/56924/5879/6091/9353/6654/6655",12
"R-HSA-193704","R-HSA-193704","p75 NTR receptor-mediated signalling","56/4633","97/11146",0.577319587628866,1.38890656674106,3.24451886818921,0.000921097817989311,0.00576905283754162,0.00356929884100064,"29/11214/51107/83464/396/9639/9826/23365/22899/9828/23370/26084/50650/54848/50649/8874/23229/10018/835/836/1894/121512/10672/3066/3551/3654/6453/8997/84894/9500/5599/23263/4615/10276/4790/4803/64857/11108/57580/5663/5879/5924/387/8767/57142/6654/6655/8878/7074/26230/7204/7314/7316/7410/10451/7531",56
"R-HSA-166208","R-HSA-166208","mTORC1-mediated signalling","18/4633","24/11146",0.75,1.8043384416145,3.32685328091858,0.000923476319482867,0.00576905283754162,0.00356929884100064,"29904/1975/1977/1978/1981/2280/55004/8649/389541/10542/2475/6009/6194/6198/10670/58528/153129/7529",18
"R-HSA-8940973","R-HSA-8940973","RUNX2 regulates osteoblast differentiation","18/4633","24/11146",0.75,1.8043384416145,3.32685328091858,0.000923476319482867,0.00576905283754162,0.00356929884100064,"25/367/865/1277/2737/3280/23462/23493/4094/5594/5595/5925/860/23314/25937/10413/7525/25925",18
"R-HSA-373752","R-HSA-373752","Netrin-1 signaling","29/4633","44/11146",0.659090909090909,1.58563075172184,3.28269283926729,0.000946298035149965,0.00588888546489478,0.00364343899363408,"3983/22885/998/1630/1793/57453/7430/2534/4651/4690/4756/9423/59277/5306/5335/5588/5747/5879/56963/285704/6091/6477/9353/7204/7220/7222/7223/219699/8976",29
"R-HSA-3108214","R-HSA-3108214","SUMOylation of DNA damage response and repair proteins","46/4633","77/11146",0.597402597402597,1.43722196215181,3.24693642490492,0.000953434539081067,0.00591056354112324,0.00365685116622744,"8086/648/672/84733/8535/57332/1029/100532731/51564/9656/55706/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/142/1912/80012/8554/9063/51588/5371/9883/5885/8480/5903/165918/6045/81929/8243/9126/10735/7341/6612/6996/7175/7329",46
"R-HSA-180910","R-HSA-180910","Vpr-mediated nuclear import of PICs","23/4633","33/11146",0.696969696969697,1.67675895584378,3.28364328478462,0.00100273335570108,0.00614554003607709,0.00380223054733545,"8086/3159/3836/55706/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/9883/11168/8480/5903/81929/7175",23
"R-HSA-9725371","R-HSA-9725371","Nuclear events stimulated by ALK signaling in cancer","23/4633","33/11146",0.696969696969697,1.67675895584378,3.28364328478462,0.00100273335570108,0.00614554003607709,0.00380223054733545,"26523/27161/192669/192670/891/1051/8454/1786/2305/3662/5594/5595/4204/4343/4869/5777/5925/6194/6500/6774/57690/7291/51530",23
"R-HSA-9861718","R-HSA-9861718","Regulation of pyruvate metabolism","23/4633","33/11146",0.696969696969697,1.67675895584378,3.28364328478462,0.00100273335570108,0.00614554003607709,0.00380223054733545,"25852/1738/79018/54994/3939/10296/4289/4750/5162/8050/5165/5166/54704/57546/55066/192111/5315/10048/64795/23409/7314/7316/80232",23
"R-HSA-1236382","R-HSA-1236382","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","15/4633","19/11146",0.789473684210526,1.89930362275211,3.30883222555644,0.00102863911187497,0.00623347596634347,0.00385663629171338,"867/11140/1956/2549/2885/3320/3845/4893/5290/5295/5335/6464/6654/7314/7316",15
"R-HSA-1362277","R-HSA-1362277","Transcription of E2F targets under negative control by DREAM complex","15/4633","19/11146",0.789473684210526,1.89930362275211,3.30883222555644,0.00102863911187497,0.00623347596634347,0.00385663629171338,"993/990/1869/1874/1875/132660/286826/4609/5111/5928/5933/5934/7027/7029/7153",15
"R-HSA-5637815","R-HSA-5637815","Signaling by Ligand-Responsive EGFR Variants in Cancer","15/4633","19/11146",0.789473684210526,1.89930362275211,3.30883222555644,0.00102863911187497,0.00623347596634347,0.00385663629171338,"867/11140/1956/2549/2885/3320/3845/4893/5290/5295/5335/6464/6654/7314/7316",15
"R-HSA-1234158","R-HSA-1234158","Regulation of gene expression by Hypoxia-inducible Factor","10/4633","11/11146",0.909090909090909,2.18707689892667,3.32208494298173,0.00104849675193855,0.00628321386902435,0.00388740901011135,"405/768/10370/1387/2033/2034/3091/64344/25994/7422",10
"R-HSA-2025928","R-HSA-2025928","Calcineurin activates NFAT","10/4633","11/11146",0.909090909090909,2.18707689892667,3.32208494298173,0.00104849675193855,0.00628321386902435,0.00388740901011135,"801/805/808/2280/4772/4773/4775/5530/5532/5534",10
"R-HSA-8875555","R-HSA-8875555","MET activates RAP1 and RAC1","10/4633","11/11146",0.909090909090909,2.18707689892667,3.32208494298173,0.00104849675193855,0.00628321386902435,0.00388740901011135,"1398/1399/2549/2885/3082/4233/5879/5906/5908/2889",10
